date,lead_source,leads,qualified_leads,demos,proposals,closed_deals,revenue,marketing_cost,sales_rep
2026-01-01,Google Ads,100,40,20,10,5,5000,2000,Ali
2026-01-02,Instagram,120,50,25,12,6,6000,1500,Sara
2026-01-03,Google Ads,90,35,15,8,2,2000,2500,Ali
2026-01-04,LinkedIn,80,45,30,18,10,12000,1800,Reza
2026-01-05,Instagram,110,48,22,10,4,3500,1600,Sara
2026-01-06,Google Ads,130,55,28,14,7,7500,2200,Ali
2026-01-07,LinkedIn,95,42,20,11,5,5500,1900,Reza
2026-01-08,Referral,60,30,18,10,6,8000,500,Sara
2026-01-09,Instagram,140,60,30,15,8,9000,1700,Ali
2026-01-10,Google Ads,85,32,14,7,2,1800,2300,Reza
2026-01-11,LinkedIn,105,50,25,14,9,11000,2000,Sara
2026-01-12,Referral,45,25,15,9,5,7000,400,Ali
2026-01-13,Instagram,125,52,26,13,5,4500,1650,Reza
2026-01-14,Google Ads,115,44,22,11,6,6500,2100,Sara
2026-01-15,LinkedIn,70,38,22,14,8,10000,1750,Ali
2026-02-01,Google Ads,108,43,21,11,5,5200,2050,Ali
2026-02-02,Instagram,135,58,29,14,7,7200,1550,Sara
2026-02-03,LinkedIn,88,40,22,13,7,8500,1850,Reza
2026-02-04,Referral,55,28,17,10,6,8200,450,Ali
2026-02-05,Google Ads,122,48,24,12,5,5100,2150,Sara
2026-02-06,Instagram,145,62,31,16,9,9800,1720,Reza
2026-02-07,LinkedIn,92,44,24,15,10,13000,1950,Ali
2026-02-08,Google Ads,78,30,13,6,1,900,2400,Sara
2026-02-09,Referral,65,33,20,12,7,9500,520,Reza
2026-02-10,Instagram,118,49,24,12,5,4800,1580,Ali
2026-02-11,Google Ads,132,53,27,13,6,6300,2180,Sara
2026-02-12,LinkedIn,98,46,23,13,8,9800,1880,Reza
2026-02-13,Referral,50,27,16,9,5,6800,430,Ali
2026-02-14,Instagram,128,54,27,13,6,5900,1630,Sara
2026-02-15,Google Ads,102,40,19,10,4,4200,2080,Reza
2026-03-01,LinkedIn,112,52,28,16,11,14000,2020,Ali
2026-03-02,Instagram,150,65,33,17,10,11000,1780,Sara
2026-03-03,Google Ads,95,37,17,9,3,2800,2350,Reza
2026-03-04,Referral,70,36,22,13,8,10500,560,Ali
2026-03-05,LinkedIn,100,48,26,15,9,11500,1920,Sara
2026-03-06,Google Ads,125,50,25,12,6,6200,2120,Reza
2026-03-07,Instagram,138,59,30,15,8,8800,1700,Ali
2026-03-08,Referral,58,30,18,11,7,9200,480,Sara
2026-03-09,Google Ads,118,46,23,11,5,5300,2080,Reza
2026-03-10,LinkedIn,85,40,22,13,8,9600,1860,Ali
2026-03-11,Instagram,142,61,31,16,9,10200,1740,Sara
2026-03-12,Google Ads,108,42,20,10,4,4100,2200,Reza
2026-03-13,Referral,62,32,19,11,6,7800,510,Ali
2026-03-14,LinkedIn,96,45,24,14,9,11200,1900,Sara
2026-03-15,Instagram,130,56,28,14,7,7600,1660,Reza
2026-04-01,Google Ads,140,56,28,14,7,7400,2250,Ali
2026-04-02,LinkedIn,115,54,30,17,12,15000,2100,Sara
2026-04-03,Instagram,155,67,34,17,10,11500,1800,Reza
2026-04-04,Referral,75,38,23,14,9,12000,580,Ali
2026-04-05,Google Ads,128,51,26,13,6,6400,2160,Sara
2026-04-06,LinkedIn,105,50,27,16,10,12500,1980,Reza
2026-04-07,Instagram,148,63,32,16,9,10000,1760,Ali
2026-04-08,Google Ads,92,36,16,8,2,1700,2420,Sara
2026-04-09,Referral,68,35,21,12,7,9300,540,Reza
2026-04-10,LinkedIn,110,52,28,16,11,13500,2040,Ali
2026-04-11,Instagram,135,58,29,15,8,8600,1720,Sara
2026-04-12,Google Ads,120,47,23,12,5,5400,2100,Reza
2026-04-13,Referral,55,28,17,10,6,8000,460,Ali
2026-04-14,LinkedIn,98,46,25,14,9,11000,1940,Sara
2026-04-15,Google Ads,135,54,27,13,6,6600,2200,Reza
